"id","student_id","course_id","quiz1","quiz2","midterm","assignments","project","final","total","grade","status","created_at","updated_at"
"68629","3","10","4","6","21","7","25","54","117","C","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68630","3","11","9","2","18","13","17","35","94","D","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68631","3","12","6","9","19","11","20","41","106","D+","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68632","3","13","8","5","18","15","15","35","96","D","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68633","3","14","8","3","14","11","10","35","81","F","fail","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68634","3","15","2","6","17","10","20","40","95","D","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68635","3","16","2","4","19","23","22","39","109","C-","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68636","3","17","4","4","11","3","9","42","73","F","fail","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68637","3","18","3","7","21","10","25","46","112","C","pass","2025-05-09 11:49:39","2025-05-09 11:49:39"
"68638","3","19","5","2","26","4","13","30","80","F","fail","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68639","3","20","5","3","22","14","15","34","93","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68640","3","21","4","7","21","18","17","38","105","D+","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68641","3","22","5","3","21","0","9","48","86","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68642","3","23","4","3","18","6","17","40","88","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68643","3","24","4","6","13","11","18","37","89","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68644","3","25","6","4","16","21","14","38","99","D","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68645","3","26","7","4","15","12","16","40","94","D","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68646","3","27","7","3","24","17","13","29","93","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68647","3","28","5","4","17","8","16","55","105","D+","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68648","3","29","10",NULL,"20","8",NULL,NULL,"38",NULL,NULL,"2025-05-09 11:49:40","2025-05-09 12:37:32"
"68649","3","30","8",NULL,"25","9",NULL,NULL,"42",NULL,NULL,"2025-05-09 11:49:40","2025-05-09 12:37:33"
"68650","3","31","8",NULL,"3","5",NULL,NULL,"16",NULL,NULL,"2025-05-09 11:49:40","2025-05-09 12:37:35"
"68651","3","32","4",NULL,"23","6",NULL,NULL,"33",NULL,NULL,"2025-05-09 11:49:40","2025-05-09 12:37:36"
"68652","3","41","4","8","10","15","18","31","86","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68653","3","42","5","5","24","1","17","36","88","D-","pass","2025-05-09 11:49:40","2025-05-09 11:49:40"
"68654","3","43","6",NULL,"4","9",NULL,NULL,"19",NULL,NULL,"2025-05-09 11:49:40","2025-05-09 12:37:39"
"68655","29","1","9","4","17","17","24","40","111","C","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68656","29","2","8","3","19","9","14","46","99","D","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68657","29","3","6","1","17","5","19","33","81","F","fail","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68658","29","4","7","7","20","2","26","36","98","D","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68659","29","5","3","5","22","13","12","38","93","D-","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68660","29","6","1","3","12","0","20","38","74","F","fail","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68661","29","7","5",NULL,"7","9",NULL,NULL,"21",NULL,NULL,"2025-05-09 11:49:41","2025-05-09 12:37:41"
"68662","29","8","4",NULL,"14","10",NULL,NULL,"28",NULL,NULL,"2025-05-09 11:49:41","2025-05-09 12:37:42"
"68663","29","9","3",NULL,"23","1",NULL,NULL,"27",NULL,NULL,"2025-05-09 11:49:41","2025-05-09 12:37:43"
"68664","29","10","8",NULL,"15","6",NULL,NULL,"29",NULL,NULL,"2025-05-09 11:49:41","2025-05-09 12:37:44"
"68665","29","11","7",NULL,"13","15",NULL,NULL,"35",NULL,NULL,"2025-05-09 11:49:41","2025-05-09 12:37:47"
"68666","29","12","6",NULL,"8","5",NULL,NULL,"19",NULL,NULL,"2025-05-09 11:49:41","2025-05-09 12:37:49"
"68667","30","1","7","5","28","1","16","49","106","D+","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68668","30","2","3","1","13","13","20","38","88","D-","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68669","30","3","5","4","13","18","16","45","101","D","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68670","30","4","10","3","17","0","17","43","90","D-","pass","2025-05-09 11:49:41","2025-05-09 11:49:41"
"68671","30","5","3","6","24","14","26","40","113","C","pass","2025-05-09 11:49:42","2025-05-09 11:49:42"
"68672","30","6","3","2","15","12","14","49","95","D","pass","2025-05-09 11:49:42","2025-05-09 11:49:42"
"68673","30","7","9",NULL,"22","6",NULL,NULL,"37",NULL,NULL,"2025-05-09 11:49:42","2025-05-09 12:37:51"
"68674","30","8","9",NULL,"28","9",NULL,NULL,"46",NULL,NULL,"2025-05-09 11:49:42","2025-05-09 12:37:53"
"68675","30","9","3",NULL,"7","1",NULL,NULL,"11",NULL,NULL,"2025-05-09 11:49:42","2025-05-09 12:37:55"
"68676","30","10","5",NULL,"29","16",NULL,NULL,"50",NULL,NULL,"2025-05-09 11:49:42","2025-05-09 12:37:56"
"68677","30","11","8",NULL,"15","8",NULL,NULL,"31",NULL,NULL,"2025-05-09 11:49:42","2025-05-09 12:37:57"
"68678","30","12","10",NULL,"18","9",NULL,NULL,"37",NULL,NULL,"2025-05-09 11:49:42","2025-05-09 12:37:59"
"68679","31","1","6","6","24","13","17","54","120","C+","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68680","31","2","6","6","18","15","21","48","114","C","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68681","31","3","5","6","30","10","26","37","114","C","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68682","31","4","5","5","16","1","23","45","95","D","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68683","31","5","6","3","14","12","20","48","103","D+","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68684","31","6","5","2","12","0","28","39","86","D-","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68685","31","7","9",NULL,"28","12",NULL,NULL,"49",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:01"
"68686","31","8","3",NULL,"22","10",NULL,NULL,"35",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:02"
"68687","31","9","10",NULL,"14","6",NULL,NULL,"30",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:05"
"68688","31","10","4",NULL,"25","8",NULL,NULL,"37",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:07"
"68689","31","11","9",NULL,"4","12",NULL,NULL,"25",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:09"
"68690","31","12","6",NULL,"10","8",NULL,NULL,"24",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:09"
"68691","32","1","5","8","18","9","17","39","96","D","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68692","32","2","6","2","15","11","17","41","92","D-","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68693","32","3","5","6","19","5","19","31","85","D-","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68694","32","4","5","8","25","13","14","47","112","C","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68695","32","5","4","4","17","12","21","51","109","C-","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68696","32","6","6","4","16","20","13","34","93","D-","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68697","32","7","10",NULL,"3","9",NULL,NULL,"22",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:11"
"68698","32","8","9",NULL,"9","3",NULL,NULL,"21",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:13"
"68699","32","9","8",NULL,"4","18",NULL,NULL,"30",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:15"
"68700","32","10","8",NULL,"17","8",NULL,NULL,"33",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:17"
"68701","32","11","6",NULL,"1","0",NULL,NULL,"7",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:17"
"68702","32","12","8",NULL,"16","7",NULL,NULL,"31",NULL,NULL,"2025-05-09 11:49:43","2025-05-09 12:38:19"
"68703","33","1","5","5","14","0","26","40","90","D-","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68704","33","2","5","6","21","8","20","45","105","D+","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68705","33","3","5","6","29","9","18","38","105","D+","pass","2025-05-09 11:49:43","2025-05-09 11:49:43"
"68706","33","4","5","3","19","23","16","39","105","D+","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68707","33","5","7","6","18","19","14","36","100","D","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68708","33","6","2","5","24","9","18","32","90","D-","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68709","33","7","3",NULL,"28","2",NULL,NULL,"33",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:21"
"68710","33","8","9",NULL,"24","9",NULL,NULL,"42",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:23"
"68711","33","9","7",NULL,"1","2",NULL,NULL,"10",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:25"
"68712","33","10","7",NULL,"5","4",NULL,NULL,"16",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:26"
"68713","33","11","10",NULL,"14","12",NULL,NULL,"36",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:28"
"68714","33","12","5",NULL,"19","16",NULL,NULL,"40",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:30"
"68715","34","1","5","7","17","12","19","40","100","D","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68716","34","2","7","6","25","7","13","28","86","D-","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68717","34","3","6","4","20","7","19","45","101","D","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68718","34","4","5","2","28","9","13","32","89","D-","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68719","34","5","6","4","15","10","12","38","85","D-","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68720","34","6","5","7","11","14","18","48","103","D+","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68721","34","7","3",NULL,"25","6",NULL,NULL,"34",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:31"
"68722","34","8","5",NULL,"7","2",NULL,NULL,"14",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:33"
"68723","34","9","4",NULL,"16","11",NULL,NULL,"31",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:36"
"68724","34","10","4",NULL,"1","16",NULL,NULL,"21",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:40"
"68725","34","11","5",NULL,"9","2",NULL,NULL,"16",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:42"
"68726","34","12","6",NULL,"6","1",NULL,NULL,"13",NULL,NULL,"2025-05-09 11:49:44","2025-05-09 12:38:45"
"68727","35","1","2","6","15","15","30","38","106","D+","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68728","35","2","3","6","21","18","17","23","88","D-","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68729","35","3","2","10","22","11","20","44","109","C-","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68730","35","4","1","7","13","4","21","31","77","F","fail","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68731","35","5","8","6","17","17","18","36","102","D+","pass","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68732","35","6","5","4","17","2","15","36","79","F","fail","2025-05-09 11:49:44","2025-05-09 11:49:44"
"68733","35","7","10",NULL,"8","18",NULL,NULL,"36",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:46"
"68734","35","8","6",NULL,"7","3",NULL,NULL,"16",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:49"
"68735","35","9","9",NULL,"15","12",NULL,NULL,"36",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:51"
"68736","35","10","6",NULL,"13","1",NULL,NULL,"20",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:52"
"68737","35","11","10",NULL,"13","8",NULL,NULL,"31",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:53"
"68738","35","12","5",NULL,"2","10",NULL,NULL,"17",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:54"
"68739","36","1","7","6","18","5","21","32","89","D-","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68740","36","2","6","3","19","10","18","38","94","D","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68741","36","3","2","6","17","4","20","37","86","D-","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68742","36","4","6","6","30","12","18","31","103","D+","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68743","36","5","3","7","27","13","14","48","112","C","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68744","36","6","3","5","15","9","16","35","83","F","fail","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68745","36","7","9",NULL,"1","3",NULL,NULL,"13",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:56"
"68746","36","8","3",NULL,"21","0",NULL,NULL,"24",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:56"
"68747","36","9","5",NULL,"23","0",NULL,NULL,"28",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:57"
"68748","36","10","3",NULL,"23","8",NULL,NULL,"34",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:38:59"
"68749","36","11","7",NULL,"27","19",NULL,NULL,"53",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:39:01"
"68750","36","12","8",NULL,"4","16",NULL,NULL,"28",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:39:03"
"68751","37","1","3","6","16","14","17","35","91","D-","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68752","37","2","6","6","16","6","13","43","90","D-","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68753","37","3","6","3","13","8","17","38","85","D-","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68754","37","4","5","5","23","6","22","48","109","C-","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68755","37","5","8","7","24","15","20","38","112","C","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68756","37","6","3","5","29","5","14","44","100","D","pass","2025-05-09 11:49:45","2025-05-09 11:49:45"
"68757","37","7","6",NULL,"3","8",NULL,NULL,"17",NULL,NULL,"2025-05-09 11:49:45","2025-05-09 12:39:05"
"68758","37","8","5",NULL,"17","4",NULL,NULL,"26",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:07"
"68759","37","9","10",NULL,"11","7",NULL,NULL,"28",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:09"
"68760","37","10","7",NULL,"28","11",NULL,NULL,"46",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:09"
"68761","37","11","10",NULL,"29","9",NULL,NULL,"48",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:10"
"68762","37","12","4",NULL,"27","14",NULL,NULL,"45",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:12"
"68763","38","1","4","2","16","16","25","46","109","C-","pass","2025-05-09 11:49:46","2025-05-09 11:49:46"
"68764","38","2","4","7","17","16","23","39","106","D+","pass","2025-05-09 11:49:46","2025-05-09 11:49:46"
"68765","38","3","3","5","22","6","20","37","93","D-","pass","2025-05-09 11:49:46","2025-05-09 11:49:46"
"68766","38","4","5","7","11","9","19","41","92","D-","pass","2025-05-09 11:49:46","2025-05-09 11:49:46"
"68767","38","5","3","6","13","12","25","39","98","D","pass","2025-05-09 11:49:46","2025-05-09 11:49:46"
"68768","38","6","5","5","17","0","20","39","86","D-","pass","2025-05-09 11:49:46","2025-05-09 11:49:46"
"68769","38","7","6",NULL,"5","15",NULL,NULL,"26",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:14"
"68770","38","8","5",NULL,"6","5",NULL,NULL,"16",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:15"
"68771","38","9","6",NULL,"7","11",NULL,NULL,"24",NULL,NULL,"2025-05-09 11:49:46","2025-05-09 12:39:16"
"68772","38","10","6",NULL,"1","3",NULL,NULL,"10",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:17"
"68773","38","11","8",NULL,"0","9",NULL,NULL,"17",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:20"
"68774","38","12","6",NULL,"11","4",NULL,NULL,"21",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:21"
"68775","39","1","5","6","20","27","20","43","121","C+","pass","2025-05-09 11:49:47","2025-05-09 11:49:47"
"68776","39","2","4","8","21","9","25","41","108","C-","pass","2025-05-09 11:49:47","2025-05-09 11:49:47"
"68777","39","3","1","5","23","12","22","33","96","D","pass","2025-05-09 11:49:47","2025-05-09 11:49:47"
"68778","39","4","2","3","13","9","11","34","72","F","fail","2025-05-09 11:49:47","2025-05-09 11:49:47"
"68779","39","5","3","8","26","10","21","30","98","D","pass","2025-05-09 11:49:47","2025-05-09 11:49:47"
"68780","39","6","9","5","21","17","15","49","116","C","pass","2025-05-09 11:49:47","2025-05-09 11:49:47"
"68781","39","7","7",NULL,"14","0",NULL,NULL,"21",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:22"
"68782","39","8","8",NULL,"6","13",NULL,NULL,"27",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:25"
"68783","39","9","3",NULL,"18","14",NULL,NULL,"35",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:27"
"68784","39","10","6",NULL,"13","13",NULL,NULL,"32",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:30"
"68785","39","11","8",NULL,"8","7",NULL,NULL,"23",NULL,NULL,"2025-05-09 11:49:47","2025-05-09 12:39:32"
"68786","39","12","5",NULL,"9","4",NULL,NULL,"18",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:34"
"68787","40","1","4","9","25","13","10","46","107","D+","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68788","40","2","9","5","18","15","30","50","127","B-","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68789","40","3","6","6","25","14","17","43","111","C","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68790","40","4","6","6","19","8","21","38","98","D","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68791","40","5","2","3","26","3","4","42","80","F","fail","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68792","40","6","7","6","24","2","8","44","91","D-","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68793","40","7","9",NULL,"2","3",NULL,NULL,"14",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:35"
"68794","40","8","3",NULL,"15","13",NULL,NULL,"31",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:37"
"68795","40","9","9",NULL,"30","16",NULL,NULL,"55",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:39"
"68796","40","10","9",NULL,"26","2",NULL,NULL,"37",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:39"
"68797","40","11","5",NULL,"5","4",NULL,NULL,"14",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:42"
"68798","40","12","10",NULL,"3","14",NULL,NULL,"27",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:43"
"68799","41","1","6","5","22","17","23","44","117","C","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68800","41","2","6","5","20","10","13","42","96","D","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68801","41","3","8","6","19","2","24","25","84","F","fail","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68802","41","4","7","5","13","12","22","47","106","D+","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68803","41","5","6","6","22","12","25","52","123","B-","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68804","41","6","2","8","24","18","15","45","112","C","pass","2025-05-09 11:49:48","2025-05-09 11:49:48"
"68805","41","7","7",NULL,"9","2",NULL,NULL,"18",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:45"
"68806","41","8","6",NULL,"30","8",NULL,NULL,"44",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:46"
"68807","41","9","6",NULL,"30","3",NULL,NULL,"39",NULL,NULL,"2025-05-09 11:49:48","2025-05-09 12:39:48"
"68808","41","10","8",NULL,"2","17",NULL,NULL,"27",NULL,NULL,"2025-05-09 11:49:49","2025-05-09 12:39:49"
"68809","41","11","10",NULL,"2","11",NULL,NULL,"23",NULL,NULL,"2025-05-09 11:49:49","2025-05-09 12:39:51"
"68810","41","12","7",NULL,"19","10",NULL,NULL,"36",NULL,NULL,"2025-05-09 11:49:49","2025-05-09 12:39:51"
"68811","42","1","4","4","23","7","29","42","109","C-","pass","2025-05-09 11:49:49","2025-05-09 11:49:49"
